cohort_id,collection_point_id,id,attribute,branch_id,created_at,created_by,date,day,end_time,is_active,name,reason,remarks,start_time,status,updated_at,updated_by,visit_number,visitor_id,visitor_name,week
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,5d42fcd4-c469-47c9-a8a4-1d7b6ded7e3e,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-07-14 00:00:00.000+0000,14,2024-07-14 01:30:00.000+0000,true,spot,,,2024-07-14 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,41,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,3
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,7015431a-c797-43f1-a438-2e4bfb05f874,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-10-06 00:00:00.000+0000,6,2024-10-06 01:30:00.000+0000,true,spot,,,2024-10-06 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,47,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,2
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,7ac120e8-47d7-45f6-a056-f4bb28ad1d6b,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-06-02 00:00:00.000+0000,2,2024-06-02 01:30:00.000+0000,true,spot,,,2024-06-02 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,38,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,2
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,7da3ef78-6e5f-4baf-8de9-66666a33a257,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-09-22 00:00:00.000+0000,22,2024-09-22 01:30:00.000+0000,true,spot,,,2024-09-22 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,46,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,4
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,86ca167f-415f-436a-80b9-cef62fa33555,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-07-28 00:00:00.000+0000,28,2024-07-28 01:30:00.000+0000,true,spot,,,2024-07-28 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,42,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,5
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,9bd6fe16-125c-4cd1-831f-77bda3a43912,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-09-08 00:00:00.000+0000,8,2024-09-08 01:30:00.000+0000,true,spot,,,2024-09-08 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,45,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,2
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,9d84e796-f483-4e4e-9159-9e52e5d8bde5,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-12-15 00:00:00.000+0000,15,2024-12-15 01:30:00.000+0000,true,spot,,,2024-12-15 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,52,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,3
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,c021b5b0-b163-4efb-acb2-f9171387af32,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-08-11 00:00:00.000+0000,11,2024-08-11 01:30:00.000+0000,true,spot,,,2024-08-11 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,43,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,3
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,d3429271-8bd0-48a0-b2e7-48943510df1b,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-05-19 00:00:00.000+0000,19,2024-05-19 01:30:00.000+0000,true,spot,,,2024-05-19 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,37,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,4
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,f5aa0fbc-89e6-4fa1-b529-f232bd19e249,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-11-17 00:00:00.000+0000,17,2024-11-17 01:30:00.000+0000,true,spot,,,2024-11-17 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,50,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,4
